Topic name,Tags,Partitions,Production,Consumption,Retained bytes,Consumers,Has data contract
RSS.OPERATIONS.OSW,,3,8.63KB/s,17.19KB/s,3.55GB,1,TRUE
RSS.OPERATIONS.SMP,,3,491B/s,982B/s,132.21MB,1,TRUE
RSS.OPERATIONS.SR,,3,16B/s,16B/s,9.85MB,1,TRUE
SAMS2.OPERATIONS.DOM.ASSIGNMENTLOG.V0,,3,0B/s,0B/s,2.04GB,2,TRUE
SASS.OPERATIONS.CONTAINERSCAN.V0,,6,0B/s,0B/s,85.65MB,2,TRUE
SASS.OPERATIONS.HUSCAN.V0,,6,72B/s,145B/s,18.26GB,2,TRUE
SASS.OPERATIONS.PROCESSEDTAG.V0,,6,,,2.04GB,2,TRUE
SDC.REFERENCE.HOLIDAY,,3,,,112.75KB,1,TRUE
SEAM.MANIFEST.SSF,,12,,,55.87MB,1,TRUE
SEAM.OPERATIONS.SPF,,12,,,0B,1,TRUE
SENSITIVE.EEB.CBPMAN.MANIFEST.TARIFF.V0,,6,,,13.04KB,,TRUE
SENSITIVE.EEB.CBPMAN.MANIFEST.TARIFF.V0.REJECTED,,3,,,0B,,TRUE
SENSITIVE.EEB.IMDAS.HLD.V0,,6,,,89.88KB,,TRUE
SENSITIVE.EEB.IMDAS.HLD.V0.REJECTED,,3,,,0B,,TRUE
SENSITIVE.EEB.NMATS.ICRENHANCED.V0,,6,1.29MB/s,,27.32GB,,TRUE
SENSITIVE.EEB.NMATS.ICRENHANCED.V0.REJECTED,,3,,,0B,,TRUE
SENSITIVE.EEB.OPERATIONS.ACP,,3,,,69.96KB,1,TRUE
SENSITIVE.EEB.OPERATIONS.ACP.REJECTED,,3,,,0B,,TRUE
SENSITIVE.EEB.OPERATIONS.PTR2.PACKAGE.SCAN,,197,,,0B,,TRUE
SENSITIVE.EEB.OPERATIONS.PTR2.PACKAGE.SCAN.AIVIRTUALASSISTANT,,197,,,0B,,TRUE
SENSITIVE.EEB.OPERATIONS.PTR2.PACKAGE.SCAN.C360,,197,,,0B,,TRUE
SENSITIVE.EEB.OPERATIONS.PTR2.PACKAGE.SCAN.CUSTOMER,,197,,,0B,,TRUE
SENSITIVE.EEB.OPERATIONS.PTR2.PACKAGE.SCAN.ENCMS,,197,,,0B,,TRUE
SENSITIVE.EEB.OPERATIONS.PTR2.PACKAGE.SCAN.FIRMSHEET,,197,,,0B,,TRUE
SENSITIVE.EEB.OPERATIONS.PTR2.PACKAGE.SCAN.FORWARDING,,197,,,0B,,TRUE
SENSITIVE.EEB.OPERATIONS.PTR2.PACKAGE.SCAN.INTERNATIONALDESTINATION.EMSEVT,,197,,,0B,,TRUE
SENSITIVE.EEB.OPERATIONS.PTR2.PACKAGE.SCAN.MDIMS,,197,,,0B,,TRUE
SENSITIVE.EEB.OPERATIONS.PTR2.PACKAGE.SCAN.MRA,,197,,,0B,,TRUE
SENSITIVE.EEB.OPERATIONS.PTR2.PACKAGE.SCAN.PICKUPACCEPTANCE,,197,,,0B,,TRUE
SENSITIVE.EEB.OPERATIONS.PTR2.PACKAGE.SCAN.REJECTED,,3,,,0B,,TRUE
SENSITIVE.EEB.OPERATIONS.PTR2.PACKAGE.SCAN.RURALROUTEREPORT,,197,,,0B,,TRUE
SENSITIVE.EEB.OPERATIONS.PTR2.PACKAGE.SCAN.SEAM,,197,,,0B,,TRUE
SENSITIVE.EEB.OPERATIONS.PTR2.PACKAGE.SCAN.SECONDNOTICE,,197,,,0B,,TRUE
SENSITIVE.EEB.OPERATIONS.PTR2.PACKAGE.SCAN.STARTOFDAYAGGREGATE,,197,,,0B,,TRUE
SENSITIVE.EEB.OPERATIONS.PTR2.PACKAGE.SCAN.STARTTHECLOCK,,197,,,0B,,TRUE
SENSITIVE.PTR2.OPERATIONS.PACKAGE.SCAN,,197,,,0B,,TRUE
SV.OPERATIONS.MEV,,3,7.95KB/s,11.79KB/s,3.47GB,3,TRUE
SV.OPERATIONS.NESTING.CT1,,197,132.47KB/s,239.12KB/s,223.58GB,3,TRUE
SV.OPERATIONS.TRANSPORATION.CT2,,22,0B/s,0B/s,15.38GB,6,TRUE
TRP.OPERATIONS.DELIVERYPREDICTION,,197,42.18KB/s,77.53KB/s,200.61GB,17,TRUE
